id,psu,country,wave,q1,wt,stratum,Q1001,Q1002,Q1003,Q1005,Q100,Q101,Q102,Q204A_1,Q204A_2,Q204_2,Q204_3,Q204_11,Q204_20,Q209B,Q501,Q501A,Q266,Q263,Q516A,Q512,Q515A2,Q511
266,27,Lebanon,5,100002,0.65943444603427,3,24.0,2.0,4.0,4.0,3.0,4,98,3.0,4,4.0,4.0,4.0,4.0,2.0,2,2,2.0,4.0,1.0,2,3.0,2.0
113,12,Lebanon,5,100001,2.5186301393005297,1,51.0,1.0,4.0,3.0,2.0,3,3,3.0,3,3.0,3.0,3.0,3.0,2.0,2,2,1.0,2.0,1.0,8,3.0,7.0
442,45,Lebanon,5,100002,1.49357819945645,3,44.0,2.0,2.0,4.0,2.0,4,5,3.0,3,3.0,4.0,4.0,4.0,3.0,2,2,2.0,2.0,1.0,3,3.0,3.0
429,43,Lebanon,5,100002,0.471997807622674,3,34.0,1.0,2.0,6.0,2.0,3,4,3.0,3,3.0,3.0,3.0,3.0,2.0,2,2,2.0,3.0,1.0,7,1.0,4.0
66,7,Lebanon,5,100001,1.29561093447778,1,46.0,2.0,3.0,4.0,2.0,3,3,3.0,3,3.0,3.0,3.0,3.0,4.0,2,2,2.0,3.0,3.0,2,4.0,3.0
915,92,Lebanon,5,100005,1.0790678358349202,11,23.0,1.0,4.0,5.0,2.0,4,3,2.0,4,4.0,4.0,3.0,3.0,4.0,2,2,2.0,2.0,3.0,10,3.0,1.0
643,65,Lebanon,5,100004,1.30633036637673,5,29.0,1.0,3.0,2.0,2.0,4,4,3.0,4,4.0,4.0,3.0,4.0,3.0,2,2,2.0,3.0,3.0,6,3.0,2.0
273,28,Lebanon,5,100002,3.20128597659146,3,52.0,1.0,2.0,3.0,2.0,3,5,4.0,4,4.0,4.0,4.0,4.0,2.0,2,2,2.0,3.0,3.0,5,4.0,5.0
532,54,Lebanon,5,100003,0.689569980632724,5,35.0,2.0,5.0,4.0,2.0,4,3,3.0,3,3.0,3.0,3.0,3.0,98.0,2,2,2.0,3.0,3.0,5,1.0,5.0
524,53,Lebanon,5,100003,1.21648022414804,5,54.0,2.0,6.0,1.0,2.0,2,2,3.0,3,3.0,3.0,2.0,3.0,3.0,2,2,2.0,2.0,3.0,7,3.0,5.0
944,95,Lebanon,5,100005,0.6560974308981501,11,63.0,2.0,3.0,4.0,2.0,4,3,2.0,3,3.0,3.0,2.0,4.0,4.0,2,2,1.0,2.0,3.0,10,4.0,3.0
650,65,Lebanon,5,100004,0.44799378242169396,5,30.0,2.0,5.0,4.0,2.0,4,4,4.0,4,4.0,4.0,4.0,4.0,3.0,2,2,1.0,2.0,3.0,5,1.0,2.0
249,25,Lebanon,5,100002,0.943995615245347,3,28.0,1.0,4.0,2.0,2.0,3,5,3.0,3,3.0,3.0,3.0,3.0,2.0,2,2,2.0,2.0,3.0,6,1.0,8.0
153,16,Lebanon,5,100001,0.464183725126339,1,28.0,1.0,2.0,2.0,2.0,4,5,4.0,4,4.0,4.0,4.0,4.0,2.0,2,2,2.0,2.0,1.0,8,1.0,4.0
622,63,Lebanon,5,100003,2.87886551894108,5,58.0,2.0,3.0,4.0,2.0,3,3,3.0,3,3.0,3.0,3.0,3.0,3.0,2,2,1.0,2.0,3.0,10,3.0,1.0
105,11,Lebanon,5,100001,0.713851200332835,1,35.0,1.0,4.0,6.0,1.0,3,2,2.0,2,2.0,2.0,1.0,2.0,2.0,1,2,1.0,2.0,3.0,6,1.0,5.0
2113,212,Lebanon,5,100007,0.41706590561279794,18,31.0,1.0,5.0,1.0,2.0,3,2,2.0,3,4.0,3.0,2.0,4.0,1.0,2,2,1.0,1.0,3.0,7,2.0,7.0
982,99,Lebanon,5,100005,0.40875917381620797,11,26.0,2.0,6.0,1.0,2.0,4,3,3.0,4,4.0,4.0,2.0,4.0,4.0,2,2,1.0,2.0,3.0,8,3.0,2.0
2117,212,Lebanon,5,100007,2.67772210842958,18,56.0,1.0,5.0,2.0,2.0,4,5,3.0,3,3.0,3.0,3.0,4.0,3.0,1,2,1.0,1.0,3.0,5,4.0,6.0
