id,psu,country,wave,q1,wt,stratum,Q1001,Q1002,Q1003,Q1005,Q100,Q101,Q102,Q204A_1,Q204A_2,Q204_2,Q204_3,Q204_11,Q204_20,Q209B,Q501,Q501A,Q266,Q263,Q516A,Q512,Q515A2,Q511
623,78,Egypt,5,50008,4.18848916811419,12,29.0,1.0,6.0,6.0,1.0,2,1,4.0,4,4.0,3.0,1.0,4.0,2.0,2,2,1.0,2.0,3.0,4,4.0,4.0
764,96,Egypt,5,50010,0.524286859451141,16,23.0,2.0,4.0,4.0,3.0,4,1,3.0,2,3.0,3.0,2.0,4.0,1.0,2,2,2.0,3.0,3.0,10,1.0,8.0
2253,282,Egypt,5,50001,1.55518106152949,1,30.0,1.0,6.0,1.0,2.0,2,1,2.0,1,3.0,3.0,3.0,3.0,2.0,2,2,1.0,2.0,3.0,3,3.0,8.0
678,85,Egypt,5,50008,2.6227238540271096,12,49.0,2.0,4.0,1.0,2.0,3,3,3.0,3,4.0,3.0,2.0,4.0,2.0,2,2,2.0,3.0,2.0,5,1.0,4.0
437,55,Egypt,5,50007,1.3050544580501202,10,22.0,1.0,4.0,6.0,1.0,3,3,2.0,2,4.0,4.0,1.0,4.0,2.0,2,2,2.0,2.0,3.0,8,1.0,5.0
771,97,Egypt,5,50010,1.2045061636669199,16,30.0,1.0,6.0,1.0,3.0,3,3,2.0,3,3.0,2.0,3.0,3.0,2.0,2,2,1.0,3.0,3.0,10,1.0,7.0
1811,227,Egypt,5,50024,2.61285168093969,37,41.0,1.0,4.0,1.0,3.0,2,3,4.0,4,3.0,3.0,1.0,3.0,1.0,2,1,1.0,2.0,2.0,5,2.0,5.0
281,36,Egypt,5,50006,1.6836318145338003,8,24.0,1.0,4.0,7.0,3.0,3,3,2.0,2,4.0,3.0,2.0,4.0,2.0,2,2,2.0,3.0,3.0,7,1.0,7.0
862,108,Egypt,5,50014,2.8895449764898697,18,62.0,2.0,1.0,4.0,98.0,4,98,98.0,3,4.0,4.0,2.0,4.0,98.0,2,2,1.0,2.0,1.0,96,1.0,96.0
713,90,Egypt,5,50010,2.4090123273338397,15,26.0,1.0,4.0,7.0,3.0,3,2,2.0,2,4.0,4.0,2.0,2.0,2.0,2,2,2.0,3.0,2.0,4,1.0,4.0
1994,250,Egypt,5,50026,2.04584837590216,41,21.0,2.0,4.0,1.0,3.0,2,2,3.0,3,3.0,98.0,2.0,4.0,2.0,2,2,1.0,3.0,3.0,5,1.0,6.0
404,51,Egypt,5,50007,1.06531456539873,9,28.0,2.0,4.0,4.0,2.0,2,2,3.0,3,3.0,3.0,2.0,3.0,2.0,2,2,1.0,3.0,3.0,3,3.0,8.0
