id,psu,country,wave,q1,wt,stratum,Q1001,Q1002,Q1003,Q1005,Q100,Q101,Q102,Q204A_1,Q204A_2,Q204_2,Q204_3,Q204_11,Q204_20,Q209B,Q501,Q501A,Q266,Q263,Q516A,Q512,Q515A2,Q511
15756,185,Palestine,5,150003,0.311164965041907,6,43.0,1.0,6.0,2.0,2.0,3,2,2.0,2,3.0,4.0,2.0,2.0,2.0,1,1,2.0,2.0,3.0,8,4.0,6.0
15757,191,Palestine,5,150003,1.8759544734673201,6,29.0,1.0,1.0,6.0,3.0,2,3,3.0,3,3.0,3.0,4.0,4.0,1.0,2,2,2.0,3.0,2.0,3,3.0,4.0
15758,191,Palestine,5,150003,1.1356385585471,6,31.0,2.0,5.0,4.0,2.0,4,5,2.0,1,2.0,2.0,1.0,2.0,1.0,2,1,2.0,2.0,2.0,2,3.0,6.0
15759,191,Palestine,5,150003,1.8759544734673201,6,24.0,1.0,6.0,1.0,1.0,4,5,3.0,4,4.0,4.0,4.0,4.0,1.0,2,2,2.0,3.0,2.0,2,3.0,2.0
15760,191,Palestine,5,150003,1.4013779812471296,6,30.0,2.0,1.0,4.0,2.0,4,1,3.0,3,3.0,3.0,3.0,3.0,2.0,2,2,1.0,3.0,2.0,5,4.0,4.0
15761,190,Palestine,5,150003,1.2403004783255,6,21.0,1.0,4.0,5.0,3.0,4,5,2.0,3,4.0,4.0,3.0,3.0,2.0,1,1,2.0,3.0,1.0,4,98.0,4.0
15762,190,Palestine,5,150003,1.8759544734673201,6,25.0,2.0,5.0,4.0,1.0,1,3,1.0,3,4.0,2.0,3.0,3.0,2.0,2,2,1.0,1.0,2.0,7,1.0,4.0
15764,190,Palestine,5,150003,0.311164965041907,6,35.0,1.0,4.0,2.0,3.0,4,3,2.0,2,4.0,4.0,4.0,4.0,3.0,2,2,1.0,2.0,1.0,7,3.0,4.0
15765,190,Palestine,5,150003,1.1356385585471,6,41.0,2.0,4.0,4.0,2.0,3,5,3.0,3,4.0,3.0,2.0,3.0,2.0,2,2,1.0,1.0,3.0,10,3.0,3.0
15766,190,Palestine,5,150003,1.4013779812471296,6,30.0,1.0,6.0,2.0,2.0,4,4,2.0,3,4.0,3.0,2.0,3.0,2.0,2,1,1.0,1.0,3.0,9,1.0,2.0
15767,189,Palestine,5,150003,1.4013779812471296,6,50.0,1.0,3.0,6.0,2.0,4,3,3.0,4,2.0,1.0,3.0,4.0,2.0,2,2,1.0,1.0,2.0,7,4.0,5.0
15768,230,Palestine,5,150002,1.06072641864044,4,18.0,2.0,4.0,5.0,2.0,4,5,2.0,2,4.0,3.0,4.0,2.0,2.0,2,2,2.0,1.0,3.0,3,98.0,2.0
15769,230,Palestine,5,150002,1.6043487081936598,4,24.0,1.0,6.0,5.0,2.0,3,5,1.0,3,4.0,4.0,3.0,4.0,1.0,2,2,2.0,3.0,98.0,3,98.0,0.0
15770,229,Palestine,5,150002,1.06072641864044,4,22.0,1.0,4.0,5.0,2.0,4,4,1.0,1,2.0,2.0,1.0,2.0,2.0,1,1,1.0,3.0,2.0,2,1.0,4.0
15771,229,Palestine,5,150002,1.1984826847899699,4,32.0,2.0,5.0,2.0,2.0,3,4,2.0,1,2.0,2.0,1.0,1.0,98.0,1,1,1.0,3.0,99.0,3,1.0,1.0
15772,229,Palestine,5,150002,1.06072641864044,4,18.0,1.0,4.0,5.0,2.0,4,2,2.0,2,3.0,3.0,2.0,2.0,2.0,2,2,2.0,1.0,2.0,5,1.0,5.0
15773,224,Palestine,5,150002,1.6043487081936598,4,25.0,1.0,4.0,6.0,2.0,4,3,2.0,3,4.0,3.0,1.0,2.0,1.0,2,2,2.0,2.0,3.0,6,1.0,4.0
15774,225,Palestine,5,150002,1.6043487081936598,4,27.0,2.0,6.0,4.0,2.0,4,3,98.0,3,4.0,3.0,2.0,2.0,2.0,2,1,2.0,1.0,1.0,4,2.0,5.0
